Text#, Origin_Text, Adversarial_Text, Origin_Mean, Origin_std, NoiseCoeff, SNR(db), Corr_O_A, Corr_O_R, Corr_A_R, ConsistentByText, ConsistentByCorr_A_R, 
62, and nobody thought any of these occurrences much out of the common way, and nobody thought any of these occurrences must out of the common way,  0.00,  0.15, 70, 36.94,  0.999899, -0.02, -0.02, 0, 0, 
63, In the midst of them the hangman ever busy and ever worse than useless, in the midst of them the hang man ever busy and ever worse than useless, -0.00,  0.15, 230, 47.24,  0.999991, -0.05, -0.05, 0, 0, 
64, was in constant requisition now stringing up long rows of miscellaneous criminals, he is in constant recesition now stringing up long rounds of miscellaneous criminals,  0.00,  0.15, 610, 55.69,  0.999999, -0.11, -0.11, 0, 0, 
65, now hanging a housebreaker on Saturday who had been taken on Tuesday, now having a house breaker on saturday who had been taken on to day,  0.00,  0.15, 610, 55.70,  0.999999, -0.02, -0.02, 0, 0, 
66, now burning people in the hand at Newgate by the dozen, now burning people in the hand that new gate by the besin,  0.00,  0.15, 610, 55.75,  0.999999, -0.03, -0.03, 0, 0, 
67, and now burning pamphlets at the door of Westminster Hall, and novberningtemphetsat the door of westminster hall, -0.00,  0.14, 610, 55.71,  0.999999, -0.02, -0.02, 0, 0, 
68, today taking the life of an atrocious murderer, to the taking the life of an atrocious murderer, -0.00,  0.14, 610, 55.69,  0.999999, -0.02, -0.02, 0, 0, 
69, and tomorrow of a wretched pilferer who had robbed a farmer's boy of sixpence, and to morrow to the wretched pilfer of who had robbed the farmer's boy of six pens,  0.00,  0.14, 610, 55.73,  0.999999, -0.03, -0.03, 0, 0, 
70, All these things and a thousand like them came to pass in and close upon the dear old year one thousand seven hundred and seventy five, all these things and a thousand like them came to pass in and close upon the dear old year when thousand seven hundred and seventy five, -0.00,  0.14, 610, 55.73,  0.999999,  0.02,  0.02, 0, 0, 
71, Environed by them while the Woodman and the Farmer worked unheeded, i lament by them while the woodman and the farmer worked in heated, -0.00,  0.16, 610, 55.69,  0.999999, -0.09, -0.09, 0, 0, 
72, those two of the large jaws and those other two of the plain and the fair faces, those two have the large seal and those other two of the plain and the fair faces, -0.00,  0.14, 50, 33.98,  0.999800, -0.15, -0.15, 0, 0, 
73, trod with stir enough and carried their divine rights with a high hand, thralewitdtiringnofandcarried their divine rights with a high hand,  0.00,  0.13, 610, 55.71,  0.999999,  0.01,  0.01, 0, 0, 
74, Thus did the year one thousand seven hundred and seventy five conduct their Greatnesses, thus died the year in thousand seven hundred and seventy five conduct they are greatnesses, -0.00,  0.14, 610, 55.71,  0.999999,  0.02,  0.02, 0, 0, 
75, and myriads of small creatures the creatures of this chronicle among the rest along the roads that lay before them, and my re as of small creatures the preachers of this promicalemontherestlongtheroads that lay before them, -0.00,  0.15, 610, 55.72,  0.999999, -0.01, -0.01, 0, 0, 
76, It was the Dover road that lay on a Friday night late in November, it was the boer weal that lay on the friday night late in november, -0.00,  0.16, 610, 55.71,  0.999999, -0.01, -0.01, 0, 0, 
77, before the first of the persons with whom this history has business, before the first of the persons with him this history has business, -0.00,  0.12, 150, 43.49,  0.999978, -0.03, -0.03, 0, 0, 
78, The Dover road lay as to him beyond the Dover mail, that over rome lay as to him be on the dover mail,  0.00,  0.15, 610, 55.72,  0.999999, -0.07, -0.07, 0, 0, 
79, as it lumbered up Shooter's Hill, as he lumbered up shooter's hill,  0.00,  0.13, 90, 39.05,  0.999938, -0.10, -0.10, 0, 0, 
80, He walked up hill in the mire by the side of the mail as the rest of the passengers did, he walked up hill in the mire by the side of the mail as the rest of the passengers dig,  0.00,  0.14, 210, 46.46,  0.999989,  0.03,  0.03, 0, 0, 
81, not because they had the least relish for walking exercise under the circumstances, not the case they had the least relish for walking exercise under the circumstances,  0.00,  0.14, 170, 44.60,  0.999983,  0.01,  0.01, 0, 0, 
82, but because the hill and the harness and the mud and the mail were all so heavy, but because the hill in the harness and the moth and the mail were also heavy,  0.00,  0.15, 610, 55.67,  0.999999,  0.07,  0.07, 0, 0, 
83, that the horses had three times already come to a stop besides once drawing the coach across the road, that the horses had three times already come to a stop besides ones drawing the coat across the road, -0.00,  0.14, 610, 55.70,  0.999999, -0.08, -0.08, 0, 0, 
84, with the mutinous intent of taking it back to Blackheath, with the mutinous intent of taking it bet a blate,  0.00,  0.14, 610, 55.73,  0.999999, -0.01, -0.01, 0, 0, 
85, Reins and whip and coachman and guard however in combination, rains and with an coatsmaninegarfeleverincombination, -0.00,  0.15, 610, 55.72,  0.999999,  0.02,  0.02, 0, 0, 
86, had read that article of war which forbade a purpose otherwise strongly in favour of the argument, had read that article of war which forbade the cur tis otherwise strongly in favour of the argument,  0.00,  0.15, 610, 55.70,  0.999999, -0.01, -0.01, 0, 0, 
87, that some brute animals are endued with Reason and the team had capitulated and returned to their duty, that sombre and the mosarindupoisreason in the team had catecilidedtantreturn to their duty,  0.00,  0.15, 610, 55.67,  0.999999,  0.01,  0.01, 0, 0, 
88, With drooping heads and tremulous tails they mashed their way through the thick mud, with threw in heads and tremulous tails they mashed their way through the thick mud,  0.00,  0.14, 610, 55.72,  0.999999, -0.01, -0.01, 0, 0, 
89, floundering and stumbling between whiles as if they were falling to pieces at the larger joints, floundering and stumbling between whiles as if they were falling to pieces at the larger joins, -0.00,  0.15, 610, 55.67,  0.999999, -0.11, -0.11, 0, 0, 
90, As often as the driver rested them and brought them to a stand, as often as the driver rested them and brought them through a stamp,  0.00,  0.14, 530, 54.53,  0.999998, -0.03, -0.03, 0, 0, 
91, with a wary Woho soho then the near leader violently shook his head and everything upon it, with the larry willhossohowthenthenearleaderfviolently shook his head and everting upon i, -0.00,  0.16, 610, 55.67,  0.999999, -0.01, -0.01, 0, 0, 
92, like an unusually emphatic horse denying that the coach could be got up the hill, like an a new only in fate forced in ying that the coach could be thought up the hill,  0.00,  0.15, 610, 55.72,  0.999999,  0.01,  0.01, 0, 0, 
93, Whenever the leader made this rattle the passenger started, never even made this rattle the passenger to,  0.00,  0.14, 10, 19.96,  0.994987,  0.03,  0.03, 0, 0, 
94, as a nervous passenger might and was disturbed in mind, as a nervous passenger might and let his tired in mind, -0.00,  0.14, 50, 34.00,  0.999801, -0.03, -0.03, 0, 0, 
95, There was a steaming mist in all the hollows and it had roamed in its forlornness up the hill, there was a steaming misty vale hollows and dead room in its feloness up the hill,  0.00,  0.15, 610, 55.71,  0.999999,  0.01,  0.01, 0, 0, 
96, like an evil spirit seeking rest and finding none, like the evil spirit seeking rest and finding none,  0.00,  0.15, 510, 54.14,  0.999998, -0.06, -0.06, 0, 0, 
97, A clammy and intensely cold mist it made its slow way through the air in ripples that visibly followed and overspread one another, a clammy and intensely pulled mistivmaidedslowlaythrough the air and rules that visibly followed in over spread one and other,  0.00,  0.15, 610, 55.72,  0.999999, -0.02, -0.02, 0, 0, 
98, as the waves of an unwholesome sea might do, as the waves of an unwholesome might do,  0.00,  0.14, 610, 55.68,  0.999999, -0.00, -0.00, 0, 0, 
99, It was dense enough to shut out everything from the light of the coach lamps but these its own workings, it was tensenaughtoshutouteverything from the light of the coach lamps but these its a workings,  0.00,  0.14, 610, 55.68,  0.999999, -0.00, -0.00, 0, 0, 
100, and a few yards of road and the reek of the labouring horses steamed into it as if they had made it all, and the few yards of road and the way of the labouring horses steamed into it as if they had made it all,  0.00,  0.15, 610, 55.73,  0.999999,  0.00,  0.00, 0, 0, 
101, Two other passengers besides the one were plodding up the hill by the side of the mail, two other passengers besides the wind were plodding up the hill by the side of the male,  0.00,  0.14, 610, 55.69,  0.999999,  0.11,  0.11, 0, 0, 
102, All three were wrapped to the cheekbones and over the ears and wore jack boots, all three were read to the teak one and over the ears and wore jack boots,  0.00,  0.14, 610, 55.71,  0.999999,  0.05,  0.05, 0, 0, 
103, Not one of the three could have said from anything he saw, not when of the three to that said from anything he saw,  0.00,  0.14, 610, 55.72,  0.999999, -0.08, -0.08, 0, 0, 
104, what either of the other two was like and each was hidden under almost as many wrappers from the eyes of the mind, what either of the other two was like and each was hidden under a most as many wrappers from the eyes of the mind,  0.00,  0.15, 610, 55.71,  0.999999,  0.06,  0.06, 0, 0, 
105, as from the eyes of the body of his two companions, as from the eyes of the body of his son companions, -0.00,  0.14, 30, 29.55,  0.999446, -0.06, -0.06, 0, 0, 
106, In those days travellers were very shy of being confidential on a short notice, in those days travellers were there si of being confidential on the short notice, -0.00,  0.15, 610, 55.74,  0.999999, -0.02, -0.02, 0, 0, 
107, for anybody on the road might be a robber or in league with robbers, for anybody on the road might be a rather or i leave with raters, -0.00,  0.16, 610, 55.72,  0.999999,  0.02,  0.02, 0, 0, 
108, As to the latter when every posting house and ale house could produce somebody in the Captain's pay, as to the latter when every posting house and a house to produce some of the in the cattans pad, -0.00,  0.14, 610, 55.71,  0.999999,  0.01,  0.01, 0, 0, 
109, ranging from the landlord to the lowest stable non descript, ranging from the landlord to the lowest stable non desperate,  0.00,  0.15, 610, 55.68,  0.999999,  0.01,  0.01, 0, 0, 
110, it was the likeliest thing upon the cards, it were the likeliest thing upon the cards,  0.00,  0.14, 70, 36.90,  0.999898,  0.02,  0.02, 0, 0, 
111, So the guard of the Dover mail thought to himself, so the dart of the dover mail thought to himself,  0.00,  0.14, 70, 36.90,  0.999898, -0.01, -0.01, 0, 0, 
112, that Friday night in November one thousand seven hundred and seventy five, that friday night in november when thousand seven hundred and seventy five, -0.00,  0.14, 610, 55.77,  0.999999,  0.04,  0.04, 0, 0, 
113, lumbering up Shooter's Hill as he stood on his own particular perch behind the mail, lumbering up shooter's hill as he stood on his own particular perch behind the male,  0.00,  0.14, 610, 55.72,  0.999999,  0.02,  0.02, 0, 0, 
114, beating his feet and keeping an eye and a hand on the arm chest before him, beating his feet and keeping and i and a hand on the arm chest before him,  0.00,  0.14, 130, 42.26,  0.999970,  0.05,  0.05, 0, 0, 
115, where a loaded blunderbuss lay at the top of six or eight loaded horse pistols, warealodidblunderbuslay at the top of six or a glow before he tol,  0.00,  0.15, 610, 55.69,  0.999999, -0.03, -0.03, 0, 0, 
116, deposited on a substratum of cutlass, the positive honesabstratimofcutless, -0.00,  0.13, 610, 55.68,  0.999999, -0.03, -0.03, 0, 0, 
117, The Dover mail was in its usual genial position that the guard suspected the passengers, that dover mail was in its usual genial position that the gards suspected the passengers,  0.00,  0.14, 610, 55.70,  0.999999, -0.07, -0.07, 0, 0, 
118, the passengers suspected one another and the guard, the passengers suspected with another and the gard,  0.00,  0.13, 610, 55.73,  0.999999, -0.03, -0.03, 0, 0, 
119, they all suspected everybody else, they all so have everybody else, -0.00,  0.13, 30, 29.58,  0.999449,  0.01,  0.01, 0, 0, 
120, and the coachman was sure of nothing but the horses, and the boatman was sure of nothing but the horses, -0.00,  0.14, 610, 55.73,  0.999999, -0.04, -0.04, 0, 0, 
121, as to which cattle he could with a clear conscience have taken his oath on the two Testaments that they were not fit for the journey, as to which cattle he could with a clear conscience have taken his own found the two testaments that they were not fit for the journey,  0.00,  0.14, 610, 55.70,  0.999999, -0.02, -0.02, 0, 0, 
122, Who said the coachman, who said the coltman, -0.00,  0.12, 610, 55.72,  0.999999, -0.04, -0.04, 0, 0, 
123, So then One more pull and you're at the top and be damned to you, so then were mortal and you are at the top and be them to you,  0.00,  0.15, 610, 55.72,  0.999999,  0.00,  0.00, 0, 0, 
124, for I have had trouble enough to get you to it Joe Halloa the guard replied, for i have had fate enough to get it to a cow e lover the guard replied, -0.00,  0.14, 610, 55.66,  0.999999,  0.04,  0.04, 0, 0, 
125, What o'clock do you make it Joe Ten minutes good past eleven, what a clock to you make it so ten minutes good past eleven,  0.00,  0.14, 610, 55.69,  0.999999, -0.04, -0.04, 0, 0, 
126, My blood ejaculated the vexed coachman and not atop of Shooter's yet Tst Yah Get on with you The emphatic horse, my blood ejaculated the vest coat man and noted about to tutors yet to get on with you the emphatic force, -0.00,  0.14, 610, 55.70,  0.999999,  0.01,  0.01, 0, 0, 
127, cut short by the whip in a most decided negative, cut short by the way in the most decided negative,  0.00,  0.14, 610, 55.74,  0.999999,  0.00,  0.00, 0, 0, 
128, made a decided scramble for it and the three other horses followed suit, made of the sided scramble for it and the three other horses followed so, -0.00,  0.14, 610, 55.78,  0.999999,  0.01,  0.01, 0, 0, 
129, Once more the Dover mail struggled on, once more that the for male struggled on,  0.00,  0.15, 610, 55.66,  0.999999, -0.08, -0.08, 0, 0, 
130, with the jack boots of its passengers squashing along by its side, with the jack boots of its passengers washing at along by its side, -0.00,  0.13, 610, 55.69,  0.999999, -0.11, -0.11, 0, 0, 
131, They had stopped when the coach stopped and they kept close company with it, they had stopped when the coat thought and they kept close company with it, -0.00,  0.13, 610, 55.67,  0.999999, -0.03, -0.03, 0, 0, 
132, If any one of the three had had the hardihood to propose to another to walk on a little ahead into the mist and darkness, if any one of the three had had a hearty it i preposed to another to walk on the little head into the mist and darkness, -0.00,  0.14, 610, 55.69,  0.999999,  0.02,  0.02, 0, 0, 
133, he would have put himself in a fair way of getting shot instantly as a highwayman, he would have put himself in the fair way of getting shot instantly as a highwayman,  0.00,  0.14, 290, 49.25,  0.999994,  0.05,  0.05, 0, 0, 
134, The last burst carried the mail to the summit of the hill, the last first carried the mail to the summit of the hill, -0.00,  0.14, 70, 36.86,  0.999897,  0.10,  0.10, 0, 0, 
135, The horses stopped to breathe again and the guard got down to skid the wheel for the descent, the horses stopped to breathe again in the bar of down to step a wheel for the descent,  0.00,  0.13, 610, 55.69,  0.999999,  0.00,  0.00, 0, 0, 
136, and open the coach door to let the passengers in, and now in the coat door to let the passengers in,  0.00,  0.14, 610, 55.72,  0.999999,  0.23,  0.23, 0, 0, 
137, Tst Joe cried the coachman in a warning voice, still cried the command in the warning voice,  0.00,  0.14, 610, 55.75,  0.999999,  0.03,  0.03, 0, 0, 
138, looking down from his box, looking down from his thoughts, -0.00,  0.14, 30, 29.57,  0.999448,  0.15,  0.15, 0, 0, 
139, What do you say Tom They both listened, what do you say tom they both listen,  0.00,  0.15, 610, 55.67,  0.999999,  0.01,  0.01, 0, 0, 
140, I say a horse at a canter coming up, i say a horse as a consort coming up, -0.00,  0.14, 610, 55.70,  0.999999, -0.02, -0.02, 0, 0, 
141, Joe I say a horse at a gallop, do i say a horse at a gallant,  0.00,  0.14, 610, 55.73,  0.999999,  0.10,  0.10, 0, 0, 
142, Tom returned the guard leaving his hold of the door and mounting nimbly to his place, tom returned the bar leaving his hold of the door and mounting and bread to his place,  0.00,  0.15, 610, 55.72,  0.999999, -0.03, -0.03, 0, 0, 
143, Gentlemen In the king's name all of you With this hurried adjuration, gentleman in the king's name it all of you with this hurry dateration, -0.00,  0.16, 610, 55.70,  0.999999,  0.01,  0.01, 0, 0, 
144, he cocked his blunderbuss and stood on the offensive, he caught his blunder bus and stood on the offensive,  0.00,  0.13, 610, 55.76,  0.999999,  0.07,  0.07, 0, 0, 
145, The passenger booked by this history, the fasteneswillfighthishisly,  0.00,  0.12, 10, 19.97,  0.995000,  0.02,  0.02, 0, 0, 
146, was on the coach step getting in, what is on the coat step getting i,  0.00,  0.13, 610, 55.76,  0.999999, -0.01, -0.01, 0, 0, 
147, the two other passengers were close behind him and about to follow, the two other passengers were close behind him and a bounty follow,  0.00,  0.14, 610, 55.70,  0.999999,  0.02,  0.02, 0, 0, 
148, He remained on the step, he lay on the fifth, -0.00,  0.15, 10, 20.00,  0.995041, -0.10, -0.10, 0, 0, 
149, half in the coach and half out of they remained in the road below him, half in the coat and half out of they remained in the road below him,  0.00,  0.15, 610, 55.68,  0.999999,  0.07,  0.07, 0, 0, 
150, They all looked from the coachman to the guard and from the guard to the coachman and listened, they all looked from the coat man to the garden from the guard to the coachman and listen, -0.00,  0.14, 610, 55.71,  0.999999,  0.05,  0.05, 0, 0, 
151, The coachman looked back and the guard looked back, the coat men looked back and he garbles back,  0.00,  0.14, 610, 55.69,  0.999999,  0.12,  0.12, 0, 0, 
152, and even the emphatic leader pricked up his ears and looked back without contradicting, and even the inphatidleaderprethogisersandbokbetwithoutcontrdedting, -0.00,  0.14, 610, 55.68,  0.999999, -0.04, -0.04, 0, 0, 
153, The stillness consequent on the cessation of the rumbling and labouring of the coach, the stillness consequent on the cessation of the rumbling and labouring of the coat, -0.00,  0.14, 90, 39.07,  0.999938,  0.01,  0.01, 0, 0, 
154, added to the stillness of the night made it very quiet indeed, added to the stillness of the night made very clio indeed,  0.00,  0.15, 610, 55.68,  0.999999, -0.02, -0.02, 0, 0, 
155, The panting of the horses communicated a tremulous motion to the coach, the panting of the horses communicated a tremulous motion to the coat, -0.00,  0.14, 70, 36.87,  0.999897, -0.05, -0.05, 0, 0, 
156, as if it were in a state of agitation, as if i were in a fateoattertation,  0.00,  0.13, 10, 19.99,  0.995027,  0.04,  0.04, 0, 0, 
