Text#, Origin_Text, Adversarial_Text, Origin_Mean, Origin_std, NoiseCoeff, L1NormNoise, L2NormNoise, LInfNormNoise, SNR(db),Corr_O_A, Corr_O_R, Corr_A_R, ConsistentByText, ConsistentByCorr_A_R, 
54, and then got shot dead himself by the other four, and then beat that himself by the other four, -0.00,  0.14, 610,  8.414196,  0.049516,  0.001004, 55.74,  0.999999,  0.00,  0.00, 0, 0, 
55, in consequence of the failure of his ammunition after which the mail was robbed in peace, in consequence of the failure of his ammunition after which the mail was robbed in case,  0.00,  0.15, 490, 18.502303,  0.082878,  0.001251, 53.82,  0.999998, -0.01, -0.01, 0, 0, 
56, that magnificent potentate the Lord Mayor of London was made to stand and deliver on Turnham Green, that magnificent potentate lord mayor of london was made to stand and deliver on turn and breen,  0.00,  0.15, 610, 18.164180,  0.075968,  0.001066, 55.72,  0.999999, -0.01, -0.01, 0, 0, 
57, by one highwayman who despoiled the illustrious creature in sight of all his retinue prisoners in London gaols fought battles with their turnkeys, by wonhindwaymenthodespointltheelustriousgreeturinsideof all his retinue prisoners in london jails fought battles with their term pee, -0.00,  0.15, 610, 25.106499,  0.088663,  0.001209, 55.72,  0.999999, -0.04, -0.04, 0, 0, 
58, and the majesty of the law fired blunderbusses in among them loaded with rounds of shot and ball, and the majesty of the law fired blunderbusses in the mong them loaded with rounds of shot and ball, -0.00,  0.15, 330, 31.417914,  0.134102,  0.001984, 50.37,  0.999995, -0.00, -0.00, 0, 0, 
59, thieves snipped off diamond crosses from the necks of noble lords at Court drawing rooms, the need of diamond crosses from the next of noble lords at court drawing rooms, -0.00,  0.15, 610, 15.133994,  0.067969,  0.001061, 55.69,  0.999999,  0.03,  0.03, 0, 0, 
60, musketeers went into St Giles's to search for contraband goods, must these went into saint giles is to search for contriventboods,  0.00,  0.13, 610, 10.945199,  0.054743,  0.000928, 55.72,  0.999999, -0.05, -0.05, 0, 0, 
61, and the mob fired on the musketeers and the musketeers fired on the mob, and the mad fire on the musketeers and the musketeers fire on the monk, -0.00,  0.15, 610, 12.824580,  0.062222,  0.001036, 55.75,  0.999999,  0.08,  0.08, 0, 0, 
62, and nobody thought any of these occurrences much out of the common way, and nobody thought any of these occurrences must out of the common way,  0.00,  0.15, 50, 146.649358,  0.748179,  0.013775, 33.96,  0.999799, -0.02, -0.02, 0, 0, 
63, In the midst of them the hangman ever busy and ever worse than useless, in the midst of them the hang man ever busy and ever worse than useless, -0.00,  0.15, 210, 36.609545,  0.183542,  0.003097, 46.44,  0.999989, -0.05, -0.05, 0, 0, 
64, was in constant requisition now stringing up long rows of miscellaneous criminals, he is in constant recesition now stringing up long rouse of misselaneuscreaminals,  0.00,  0.15, 610, 15.334241,  0.068175,  0.001104, 55.66,  0.999999,  0.03,  0.03, 0, 0, 
65, now hanging a housebreaker on Saturday who had been taken on Tuesday, now having a house breaker on saturday who had been taken on to day,  0.00,  0.15, 610, 12.835474,  0.062552,  0.001031, 55.68,  0.999999, -0.02, -0.02, 0, 0, 
66, now burning people in the hand at Newgate by the dozen, now burning people in the hand that new gate by the besin,  0.00,  0.15, 610,  9.215702,  0.052977,  0.001097, 55.70,  0.999999, -0.03, -0.03, 0, 0, 
67, and now burning pamphlets at the door of Westminster Hall, and novberningtempets at the door of westminster hall, -0.00,  0.14, 610,  9.727010,  0.053231,  0.001093, 55.71,  0.999999,  0.01,  0.01, 0, 0, 
68, today taking the life of an atrocious murderer, to the taking the life of an atrocious murderer, -0.00,  0.14, 610,  8.370159,  0.049835,  0.001026, 55.71,  0.999999, -0.02, -0.02, 0, 0, 
69, and tomorrow of a wretched pilferer who had robbed a farmer's boy of sixpence, and to morrow to the wretched pilfer of who had robbed the farmer's boy of sixpence,  0.00,  0.14, 610, 12.884057,  0.061087,  0.001109, 55.72,  0.999999, -0.05, -0.05, 0, 0, 
70, All these things and a thousand like them came to pass in and close upon the dear old year one thousand seven hundred and seventy five, all these things and a thousand like them came to pass in and close upon the dear old year when thousand seven hundred and seventy five, -0.00,  0.14, 610, 21.134707,  0.077771,  0.000989, 55.68,  0.999999,  0.02,  0.02, 0, 0, 
71, Environed by them while the Woodman and the Farmer worked unheeded, i lament by them while the woodman and the farmer worked in heated, -0.00,  0.16, 610, 11.963022,  0.062549,  0.001182, 55.71,  0.999999, -0.09, -0.09, 0, 0, 
72, those two of the large jaws and those other two of the plain and the fair faces, those two of the large jess and those other two of the plain and the fair faces, -0.00,  0.14, 170, 45.729932,  0.218743,  0.003796, 44.63,  0.999983, -0.04, -0.04, 0, 0, 
73, trod with stir enough and carried their divine rights with a high hand, thralewitdtiringnofandcarried their divine rights with a high hand,  0.00,  0.13, 610, 10.280880,  0.053183,  0.000892, 55.68,  0.999999,  0.01,  0.01, 0, 0, 
74, Thus did the year one thousand seven hundred and seventy five conduct their Greatnesses, thus died the year in thousand seven hundred and seventy five conduct they are greatnesses, -0.00,  0.14, 610, 15.075247,  0.065579,  0.001001, 55.70,  0.999999,  0.02,  0.02, 0, 0, 
75, and myriads of small creatures the creatures of this chronicle among the rest along the roads that lay before them, and my re as of small creatures the preachers of this provicalamontherestlongtheroads that lay before them, -0.00,  0.15, 610, 18.802323,  0.075536,  0.001108, 55.69,  0.999999,  0.04,  0.04, 0, 0, 
76, It was the Dover road that lay on a Friday night late in November, it was the boer wot that lay on the friday night late in november, -0.00,  0.16, 610, 12.109653,  0.062673,  0.001187, 55.66,  0.999999,  0.03,  0.03, 0, 0, 
77, before the first of the persons with whom this history has business, before the first of the persons was in this history has business, -0.00,  0.12, 30, 190.968811,  0.994540,  0.018036, 29.58,  0.999450,  0.07,  0.07, 0, 0, 
78, The Dover road lay as to him beyond the Dover mail, that over rome lay as to him be on the dover mal,  0.00,  0.15, 610,  8.714530,  0.052328,  0.001420, 55.68,  0.999999,  0.09,  0.09, 0, 0, 
79, as it lumbered up Shooter's Hill, as he lumbered up shooter's hill,  0.00,  0.13, 70, 45.535955,  0.330919,  0.008501, 36.88,  0.999897, -0.10, -0.10, 0, 0, 
80, He walked up hill in the mire by the side of the mail as the rest of the passengers did, he was a feeling the mire by the side of the mail as the rest of the passengers the,  0.00,  0.14, 30, 275.772899,  1.282681,  0.023989, 29.54,  0.999444,  0.00,  0.00, 0, 0, 
81, not because they had the least relish for walking exercise under the circumstances, not the case they had the least relish for walking exercise under the circumstances,  0.00,  0.14, 190, 44.065463,  0.198432,  0.003145, 45.56,  0.999986,  0.01,  0.01, 0, 0, 
82, but because the hill and the harness and the mud and the mail were all so heavy, but because the hill in the harness and the moth and the mail were also heavy,  0.00,  0.15, 610, 11.790295,  0.059960,  0.000971, 55.68,  0.999999,  0.07,  0.07, 0, 0, 
83, that the horses had three times already come to a stop besides once drawing the coach across the road, that the horses had three times already come to a stop besides ones drawing the coat across the road, -0.00,  0.14, 610, 16.778764,  0.069226,  0.001112, 55.71,  0.999999, -0.08, -0.08, 0, 0, 
84, with the mutinous intent of taking it back to Blackheath, with the mutinous intent of taking it bet a blase,  0.00,  0.14, 610,  8.963533,  0.050284,  0.000945, 55.68,  0.999999,  0.02,  0.02, 0, 0, 
85, Reins and whip and coachman and guard however in combination, rains and with an coatsmaninegarfeleverincombination, -0.00,  0.15, 610, 11.410877,  0.059441,  0.001011, 55.70,  0.999999,  0.02,  0.02, 0, 0, 
86, had read that article of war which forbade a purpose otherwise strongly in favour of the argument, had read that article of war which forbade the cure tis otherwise strongly in favour of the argument,  0.00,  0.15, 610, 16.906281,  0.071470,  0.001096, 55.76,  0.999999, -0.02, -0.02, 0, 0, 
87, that some brute animals are endued with Reason and the team had capitulated and returned to their duty, that sombre and the mosarindupoisreason in the team had catecilidedtantoreturn to their duty,  0.00,  0.15, 610, 17.031925,  0.072431,  0.001098, 55.75,  0.999999,  0.03,  0.03, 0, 0, 
88, With drooping heads and tremulous tails they mashed their way through the thick mud, with threw in heads and tremulous tails they mashed their way through the thick mud,  0.00,  0.14, 610, 12.595191,  0.060856,  0.001041, 55.68,  0.999999, -0.01, -0.01, 0, 0, 
89, floundering and stumbling between whiles as if they were falling to pieces at the larger joints, floundering and stumbling between whiles as if they were falling to pieces at the larger joins, -0.00,  0.15, 610, 15.149927,  0.067342,  0.001018, 55.69,  0.999999, -0.11, -0.11, 0, 0, 
90, As often as the driver rested them and brought them to a stand, i thowtfinisesryverrestestimandbrothhimtoghastand,  0.00,  0.14, 30, 202.090035,  1.075010,  0.020491, 29.59,  0.999451, -0.03, -0.03, 0, 0, 
91, with a wary Woho soho then the near leader violently shook his head and everything upon it, with the larrywillhosohothenthenearleaderfviolentlyshook his head and defereathingupon, -0.00,  0.16, 610, 16.862781,  0.073518,  0.001069, 55.69,  0.999999, -0.00, -0.00, 0, 0, 
92, like an unusually emphatic horse denying that the coach could be got up the hill, like an a new only in fate forced in ying that the coach could be thought up the hill,  0.00,  0.15, 610, 12.749144,  0.061693,  0.001009, 55.70,  0.999999,  0.01,  0.01, 0, 0, 
93, Whenever the leader made this rattle the passenger started, when ever believe her mad this rattle the passenger started,  0.00,  0.14, 30, 183.903543,  1.054605,  0.021418, 29.57,  0.999448,  0.01,  0.01, 0, 0, 
94, as a nervous passenger might and was disturbed in mind, as a nervous passenger might and lee is sure in mind, -0.00,  0.14, 30, 196.091023,  1.053612,  0.023259, 29.54,  0.999445,  0.02,  0.02, 0, 0, 
95, There was a steaming mist in all the hollows and it had roamed in its forlornness up the hill, there was a steaming misty vale hollows and depend room in its feloness up the hill,  0.00,  0.15, 610, 14.928555,  0.067729,  0.001176, 55.69,  0.999999,  0.02,  0.02, 0, 0, 
96, like an evil spirit seeking rest and finding none, like the evil spirit seeking rest and finding none,  0.00,  0.15, 550, 10.221326,  0.058121,  0.001109, 54.82,  0.999998, -0.06, -0.06, 0, 0, 
97, A clammy and intensely cold mist it made its slow way through the air in ripples that visibly followed and overspread one another, a clammy and intensely pulled mistivmaidedslowlayethrough the air and rules that visibly followed in over spread one and other,  0.00,  0.15, 610, 22.279755,  0.082969,  0.001203, 55.72,  0.999999, -0.01, -0.01, 0, 0, 
98, as the waves of an unwholesome sea might do, as the waves of an unwholesome might do,  0.00,  0.14, 610,  7.667864,  0.047654,  0.000942, 55.71,  0.999999, -0.00, -0.00, 0, 0, 
99, It was dense enough to shut out everything from the light of the coach lamps but these its own workings, it was tensinaghtoshutouteverything from the light of the coach lamps but these its a workings,  0.00,  0.14, 610, 15.724542,  0.067399,  0.001050, 55.70,  0.999999, -0.02, -0.02, 0, 0, 
100, and a few yards of road and the reek of the labouring horses steamed into it as if they had made it all, and the few yards of road and the way of the labouring horses steamed into it as if they had made it all,  0.00,  0.15, 610, 16.824534,  0.071827,  0.001124, 55.68,  0.999999,  0.00,  0.00, 0, 0, 
101, Two other passengers besides the one were plodding up the hill by the side of the mail, two other passengers besides the wind were plodding up the hill by the side of the male,  0.00,  0.14, 610, 12.524549,  0.059390,  0.001000, 55.71,  0.999999,  0.11,  0.11, 0, 0, 
102, All three were wrapped to the cheekbones and over the ears and wore jack boots, all three were read to the teak one and over the ears and wore jack boots,  0.00,  0.14, 610, 13.022488,  0.062256,  0.001045, 55.68,  0.999999,  0.05,  0.05, 0, 0, 
103, Not one of the three could have said from anything he saw, not when of the three to that said from anything he saw,  0.00,  0.14, 610,  8.693948,  0.049600,  0.000998, 55.72,  0.999999, -0.08, -0.08, 0, 0, 
104, what either of the other two was like and each was hidden under almost as many wrappers from the eyes of the mind, what either of the other two was like and each was hidden under a most as many wrappers from the eyes of the mind,  0.00,  0.15, 610, 18.891483,  0.076746,  0.001188, 55.68,  0.999999,  0.06,  0.06, 0, 0, 
105, as from the eyes of the body of his two companions, as from the eyes of the body of this so companions, -0.00,  0.14, 30, 182.935669,  1.042179,  0.020178, 29.60,  0.999452, -0.06, -0.06, 0, 0, 
106, In those days travellers were very shy of being confidential on a short notice, in those days travellers were there i of being confidential on the short notice, -0.00,  0.15, 610, 14.156030,  0.065948,  0.001063, 55.68,  0.999999, -0.03, -0.03, 0, 0, 
107, for anybody on the road might be a robber or in league with robbers, for anybody on the road might be a rather or i leave with raters, -0.00,  0.16, 610, 13.322415,  0.066151,  0.001232, 55.67,  0.999999,  0.02,  0.02, 0, 0, 
108, As to the latter when every posting house and ale house could produce somebody in the Captain's pay, as to the latter when every posting house and the house did for due some of the in the cattans pay, -0.00,  0.14, 610, 14.341887,  0.063283,  0.001063, 55.72,  0.999999,  0.01,  0.01, 0, 0, 
109, ranging from the landlord to the lowest stable non descript, ranging from the landlord to the lowest stable non desperate,  0.00,  0.15, 610, 11.500228,  0.059783,  0.001039, 55.72,  0.999999,  0.01,  0.01, 0, 0, 
110, it was the likeliest thing upon the cards, if we as the likeliest thing upon the cards,  0.00,  0.14, 70, 66.269520,  0.406498,  0.008512, 36.84,  0.999897, -0.02, -0.02, 0, 0, 
111, So the guard of the Dover mail thought to himself, said the guard of the dover mail thought to himself,  0.00,  0.14, 50, 97.827025,  0.585623,  0.012101, 33.97,  0.999800, -0.08, -0.08, 0, 0, 
112, that Friday night in November one thousand seven hundred and seventy five, that friday night in november when thousand seven hundred and seventy five, -0.00,  0.14, 610, 12.929947,  0.061006,  0.001085, 55.72,  0.999999,  0.04,  0.04, 0, 0, 
113, lumbering up Shooter's Hill as he stood on his own particular perch behind the mail, lumbering up shooter's hill as he stood on his own particular perch behind the male,  0.00,  0.14, 610, 13.657924,  0.063852,  0.001045, 55.68,  0.999999,  0.02,  0.02, 0, 0, 
114, beating his feet and keeping an eye and a hand on the arm chest before him, beating his feet and keeping and i and a hand on the arm chest before him,  0.00,  0.14, 110, 64.784337,  0.319952,  0.005599, 40.83,  0.999959,  0.05,  0.05, 0, 0, 
115, where a loaded blunderbuss lay at the top of six or eight loaded horse pistols, warealodedblunderbustlay at the top of six or a blow before he tol,  0.00,  0.15, 610, 13.810189,  0.064927,  0.001030, 55.70,  0.999999, -0.03, -0.03, 0, 0, 
116, deposited on a substratum of cutlass, the positive honesebstratim of cuttle, -0.00,  0.13, 610,  6.937888,  0.043032,  0.000912, 55.65,  0.999999, -0.02, -0.02, 0, 0, 
117, The Dover mail was in its usual genial position that the guard suspected the passengers, that over male was in its usual genial position that the gards suspected the passengers,  0.00,  0.14, 610, 14.458810,  0.064368,  0.001005, 55.70,  0.999999,  0.10,  0.10, 0, 0, 
118, the passengers suspected one another and the guard, the passengers suspected with another and the gard,  0.00,  0.13, 610,  7.842634,  0.045881,  0.001011, 55.68,  0.999999, -0.03, -0.03, 0, 0, 
119, they all suspected everybody else, they all sushassyeverybodyelse, -0.00,  0.13, 30, 134.023237,  0.868243,  0.017835, 29.57,  0.999449,  0.00,  0.00, 0, 0, 
120, and the coachman was sure of nothing but the horses, and the boatman was sure of nothing but the horses, -0.00,  0.14, 610,  8.508187,  0.049064,  0.000896, 55.69,  0.999999, -0.04, -0.04, 0, 0, 
121, as to which cattle he could with a clear conscience have taken his oath on the two Testaments that they were not fit for the journey, as the witch cattle he could with a clear conscience have taken his own found the two testaments that they were not fit for the journey,  0.00,  0.14, 610, 18.579765,  0.072124,  0.001009, 55.68,  0.999999, -0.02, -0.02, 0, 0, 
122, Who said the coachman, who said the coltman, -0.00,  0.12, 610,  3.418982,  0.028914,  0.000759, 55.72,  0.999999, -0.04, -0.04, 0, 0, 
123, So then One more pull and you're at the top and be damned to you, so then were mortal and you are at the top and be them to you,  0.00,  0.15, 610, 10.682494,  0.058138,  0.001097, 55.73,  0.999999,  0.00,  0.00, 0, 0, 
124, for I have had trouble enough to get you to it Joe Halloa the guard replied, for i have had fate enough to get me to a colder lover the guard replied, -0.00,  0.14, 610, 12.560406,  0.060667,  0.001021, 55.66,  0.999999,  0.01,  0.01, 0, 0, 
125, What o'clock do you make it Joe Ten minutes good past eleven, what a clock to you make it to ten minutes good past eleven,  0.00,  0.14, 610, 10.147521,  0.054511,  0.001010, 55.73,  0.999999,  0.11,  0.11, 0, 0, 
126, My blood ejaculated the vexed coachman and not atop of Shooter's yet Tst Yah Get on with you The emphatic horse, my bloody jaculated the vexetcoatsman and noted a oppofutorsyetsteorget on with you the emphatic force, -0.00,  0.14, 610, 17.619829,  0.070637,  0.001091, 55.70,  0.999999, -0.04, -0.04, 0, 0, 
127, cut short by the whip in a most decided negative, cut short by the way in the most decided negative,  0.00,  0.14, 610,  8.355297,  0.048396,  0.001010, 55.67,  0.999999,  0.00,  0.00, 0, 0, 
